"","avg_hrs","av_rev","av_hr_rev","date"
"1",430,12963.2879925617,30.3939772694807,2013-01-01
"2",396,12318.4924170404,31.288506251636,2013-02-01
"3",452,14251.359154851,31.7492204422471,2013-03-01
"4",441,13929.0377919615,31.8015396460227,2013-04-01
"5",455,14481.7818724491,32.0708394960702,2013-05-01
"6",436,13625.2725489825,31.4612501579455,2013-06-01
"7",427,12846.0714165362,30.3251238002738,2013-07-01
"8",396,11898.6549832904,30.2916265175516,2013-08-01
"9",432,13496.765188269,31.5041707226659,2013-09-01
"10",453,14267.0274235186,31.7040787926596,2013-10-01
"11",436,13464.4508938435,31.1389915800327,2013-11-01
"12",435,13242.3207488532,30.7195259263396,2013-12-01
"13",418,12227.6104107325,29.4603307443889,2014-01-01
"14",392,11679.77723358,30.0441944630381,2014-02-01
"15",452,13894.6133927788,30.9142174674025,2014-03-01
"16",435,13385.4022829758,30.9724198856454,2014-04-01
"17",445,13994.1793656176,31.6346060252974,2014-05-01
"18",421,13015.3739081321,31.0848808486307,2014-06-01
"19",405,12086.0479429393,30.0484098985225,2014-07-01
"20",407,11850.8228242131,29.3841492796464,2014-08-01
"21",413,12629.0693547921,30.8213145176087,2014-09-01
"22",432,13326.4654719151,31.0306167724603,2014-10-01
"23",411,12311.9058181121,30.1914983930716,2014-11-01
"24",413,12183.3277305762,29.7232855997596,2014-12-01
"25",390,11179.2615199139,28.9524457564545,2015-01-01
"26",376,11300.0691259106,30.266976023912,2015-02-01
"27",416,12465.8232141078,30.1820451230849,2015-03-01
"28",413,12404.518575458,30.285627398521,2015-04-01
"29",419,12878.126956872,30.9599716611068,2015-05-01
"30",398,11992.2915619957,30.3496795095778,2015-06-01
"31",381,11178.0990923336,29.5978745180106,2015-07-01
"32",380,10831.5734855389,28.824555187358,2015-08-01
"33",370,11134.7143390502,30.3213376404377,2015-09-01
"34",406,12211.9906022534,30.3899065598477,2015-10-01
"35",380,11101.9970478407,29.5567654248486,2015-11-01
"36",405,11649.1224520513,29.1350579337755,2016-03-01
"37",398,11562.3447260264,29.4206884716237,2016-04-01
"38",401,11820.631074976,29.8471607144904,2016-05-01
"39",382,11152.7723018084,29.5250914191315,2016-06-01
"40",362,10247.0204352027,28.6621013772384,2016-07-01
"41",362,9921.93878742459,27.8729742027026,2016-08-01
"42",355,10483.9702994006,29.9217498846864,2016-09-01
"43",383,10978.1215163306,29.1356837520947,2016-10-01
"44",366,10216.9062624502,28.4315933504442,2016-11-01
"45",371,10326.3258854184,28.3431444548914,2016-12-01
"46",347,9130.16581774704,26.8237892473358,2017-01-01
"47",329,8733.30655313118,27.0199143172519,2017-02-01
"48",372,10229.2299510889,27.9789386664605,2017-03-01
"49",363,10078.4914954887,28.2945047016149,2017-04-01
"50",366,10374.935648462,28.8456332243561,2017-05-01
"51",347,9893.79962787531,28.9449368715651,2017-06-01
"52",331,8811.83432466457,27.1631814344392,2017-07-01
"53",331,8695.9745857472,26.9372268039938,2017-08-01
"54",331,9421.20353615389,29.0162974917625,2017-09-01
"55",365,10182.2614649521,28.4883065169665,2017-10-01
"56",349,9587.48912382097,28.0955835670628,2017-11-01
"57",350,9675.12487880148,28.2248032584158,2017-12-01
"58",324,8524.60259980074,26.9675632692,2018-01-01
"59",313,8311.79375705878,27.1559437697483,2018-02-01
"60",350,9601.59115431371,28.0816850430411,2018-03-01
"61",347,9740.65965615066,28.6933564773167,2018-04-01
"62",348,10018.0886453378,29.451240624884,2018-05-01
"63",328,9456.2440998025,29.4302706448661,2018-06-01
"64",313,8506.42492456227,27.8184770097752,2018-07-01
"65",313,8612.33042638295,28.136271010749,2018-08-01
"66",313,8998.75833236522,29.3202699243302,2018-09-01
"67",347,9894.78117143363,29.1568313977077,2018-10-01
"68",326,9114.92557423844,28.6555581529672,2018-11-01
"69",324,8987.07961566127,28.4989916281467,2018-12-01
"70",307,7924.20543658356,26.5625176667157,2019-01-01
"71",287,7477.41667860322,26.7706312938636,2019-02-01
"72",323,8581.57549566503,27.314593804785,2019-03-01
"73",308,8307.19431835115,27.8002709844598,2019-04-01
"74",311,8715.33738430498,28.7521665606341,2019-05-01
"75",295,8200.27959570826,28.5108988369062,2019-06-01
"76",284,7460.22523064127,27.14831388652,2019-07-01
"77",236,6173.27646968212,27.0614551732477,2019-08-01
"78",387,11215.2727553946,29.3011701518871,2015-12-01
"79",363,10221.1424725691,28.5298195757666,2016-01-01
"80",371,10580.6506823518,28.8502920399506,2016-02-01
